jd,filter,tag,mag,emag
2459830.64,sdssi,SEDM,19.15,0.04
2459837.63,sdssr,SEDM,20.38,0.09
2459837.63,sdssg,SEDM,20.86,0.09
2459837.63,sdssi,SEDM,19.74,0.08
2459842.63,sdssr,SEDM,20.7,0.12
2459842.64,sdssg,SEDM,21.04,0.16
2459842.64,sdssi,SEDM,20.09,0.07
2459843.66,sdssr,SEDM,20.86,0.1
2459843.66,sdssg,SEDM,21.08,0.09
2459843.66,sdssi,SEDM,19.97,0.06
2459847.62,sdssr,SEDM,21.03,0.11
2459847.62,sdssg,SEDM,21.21,0.17
2459847.63,sdssi,SEDM,20.31,0.09
2459853.61,sdssr,SEDM,21.61,0.19
2459853.62,sdssg,SEDM,21.74,0.24
2459853.62,sdssi,SEDM,20.74,0.13
2459857.62,sdssi,SEDM,20.77,0.17
2459623.82,ZTF_g,P48,20.51,0.34
2459770.74,ZTF_g,P48,21.0,0.31
2459770.77,ZTF_g,P48,20.71,0.28
2459771.7,ZTF_g,P48,17.3,0.01
2459771.76,ZTF_g,P48,17.02,0.01
2459771.84,ZTF_g,P48,16.89,0.01
2459772.7,ZTF_r,P48,17.17,0.01
2459772.71,ZTF_r,P48,17.19,0.01
2459772.74,ZTF_r,P48,17.17,0.01
2459772.74,ZTF_r,P48,17.2,0.01
2459772.76,ZTF_r,P48,17.19,0.01
2459773.75,ZTF_r,P48,17.03,0.01
2459773.78,ZTF_r,P48,17.01,0.01
2459773.83,ZTF_r,P48,16.95,0.02
2459774.7,ZTF_r,P48,16.71,0.01
2459774.7,ZTF_r,P48,16.66,0.01
2459774.76,ZTF_r,P48,16.65,0.01
2459774.76,ZTF_r,P48,16.69,0.01
2459774.84,ZTF_r,P48,16.71,0.01
2459775.74,ZTF_r,P48,16.49,0.01
2459775.79,ZTF_r,P48,16.44,0.01
2459775.82,ZTF_r,P48,16.49,0.01
2459776.74,ZTF_r,P48,16.42,0.01
2459776.74,ZTF_r,P48,16.44,0.01
2459776.78,ZTF_r,P48,16.45,0.01
2459776.82,ZTF_r,P48,16.37,0.01
2459776.82,ZTF_r,P48,16.41,0.01
2459777.72,ZTF_r,P48,16.43,0.01
2459778.72,ZTF_r,P48,16.37,0.01
2459779.74,ZTF_r,P48,16.35,0.01
2459779.74,ZTF_r,P48,16.38,0.01
2459779.82,ZTF_r,P48,16.36,0.01
2459779.83,ZTF_r,P48,16.37,0.01
2459780.78,ZTF_g,P48,16.66,0.01
2459781.74,ZTF_g,P48,16.59,0.01
2459781.77,ZTF_g,P48,16.62,0.01
2459781.77,ZTF_g,P48,16.63,0.01
2459781.84,ZTF_g,P48,16.54,0.01
2459782.72,ZTF_i,P48,16.31,0.01
2459782.74,ZTF_r,P48,16.23,0.01
2459782.79,ZTF_g,P48,16.61,0.01
2459783.77,ZTF_r,P48,16.19,0.01
2459783.78,ZTF_g,P48,16.59,0.01
2459784.72,ZTF_g,P48,16.68,0.01
2459784.78,ZTF_r,P48,16.2,0.01
2459785.7,ZTF_r,P48,16.18,0.01
2459785.7,ZTF_r,P48,16.2,0.01
2459785.72,ZTF_g,P48,16.67,0.01
2459785.72,ZTF_g,P48,16.66,0.01
2459785.76,ZTF_i,P48,16.28,0.01
2459786.72,ZTF_g,P48,16.73,0.01
2459786.76,ZTF_r,P48,16.22,0.01
2459787.72,ZTF_g,P48,16.8,0.01
2459787.72,ZTF_g,P48,16.81,0.01
2459787.78,ZTF_r,P48,16.23,0.01
2459787.78,ZTF_r,P48,16.23,0.01
2459788.78,ZTF_r,P48,16.24,0.01
2459789.7,ZTF_g,P48,17.01,0.01
2459789.7,ZTF_g,P48,16.98,0.01
2459789.72,ZTF_r,P48,16.31,0.01
2459789.72,ZTF_r,P48,16.3,0.01
